0,0,3195,0,{{time:logotime 2018-04-30 00:00:00.000}},F,0,0,0.26919334171212084,0,0,0,No,0,0,140.35587276347502,144566.54894637928,114402.63172019791,30163.917226181366,F,69.87643520592616,64.92754940312435,54,1329,1,0,(haul 3134)
0,0,3163,0,{{time:logotime 2018-04-30 00:00:00.000}},F,0,0,0.27456827761438063,0,0,0,No,0,0,150.49278873550597,155007.57239757114,136468.50566078097,18539.066736790173,F,55.687205684076005,23.493475882759864,78,1782,1,0,(haul 3137)
0,0,3152,0,{{time:logotime 2018-04-30 00:00:00.000}},F,0,0,0.24042796292315646,0,0,0,No,0,0,140.7428447810269,144965.13012445768,113168.52319600366,31796.606928454014,F,134.2972243074427,166.02725058720995,9,201,1,0,(haul 3131)
0,0,3181,0,{{time:logotime 2018-04-30 00:00:00.000}},F,0,0,0.2832905435562284,0,0,0,No,0,0,154.2135724861722,158839.97966075738,125352.3775643286,33487.602096428775,F,54.969489743687795,23.668648902059257,78,1782,1,0,(haul 3137)
0,0,3177,0,{{time:logotime 2018-04-30 00:00:00.000}},F,0,0,0.3261629816195896,0,0,0,No,0,0,160.2603186741668,165068.1282343918,133836.5989919585,31231.529242433287,F,133.98345091437855,165.78608343690044,9,201,1,0,(haul 3131)
0,0,3161,0,{{time:logotime 2018-04-30 00:00:00.000}},F,0,0,0.3860779783183768,0,0,0,No,0,0,190.61003030318432,247793.0393941396,182757.06292961029,65035.976464529325,M,54.94646956839144,20.44354863264512,78,1839,1,0,(haul 3138)
0,0,3150,0,{{time:logotime 2018-04-30 00:00:00.000}},F,0,0,0.25056150311562686,0,0,0,No,0,0,153.22189941993,157818.5564025279,143717.41666924447,14101.139733283424,F,83.92481640481388,70.8274781090895,55,1274,1,0,(haul 3132)
0,0,3168,0,{{time:logotime 2018-04-30 00:00:00.000}},F,0,0,0.2745422631457233,0,0,0,No,0,0,143.75530492169835,148067.9640693493,114902.14486685983,33165.81920248948,F,55.2803643628168,23.803511193678382,78,1782,1,0,(haul 3137)
0,0,3169,0,{{time:logotime 2018-04-30 00:00:00.000}},F,0,0,0.24516964938369432,0,0,0,No,0,0,130.57063932825312,134487.7585081007,106468.80882677868,28018.94968132202,F,133.55105729680392,164.71168409384586,9,201,1,0,(haul 3131)
0,0,3166,0,{{time:logotime 2018-04-30 00:00:00.000}},F,0,0,0.2775052894165536,0,0,0,No,0,0,148.04500147513838,152486.35151939254,114628.8428062466,37857.508713145944,F,83.68804672588759,64.58113356720068,55,1331,1,0,(haul 3135)
0,0,3191,0,{{time:logotime 2018-04-30 00:00:00.000}},TR-HO,0,0,0.41374992493716983,0,0,0,SKIN_FAT,0,0,190.9386762446718,248220.27911807335,207466.91866312257,40753.36045495077,M,88.48911391764722,70.18876882995146,55,1275,1,10,(haul 3133)
0,0,3162,0,{{time:logotime 2018-04-30 00:00:00.000}},F,0,0,0.377548344172615,0,0,0,No,0,0,180.81690250607656,235061.97325789952,183705.9810372623,51355.99222063723,M,133.99376854404275,165.96335575370162,9,201,1,0,(haul 3131)
0,0,3157,0,{{time:logotime 2018-04-30 00:00:00.000}},F,0,0,0.37414276130795737,0,0,0,No,0,0,181.37574665493807,235788.47065141948,183156.74124771278,52631.729403706704,M,89.62255625885001,69.31239663540985,55,1276,1,0,(haul 3133)
0,0,3179,0,{{time:logotime 2018-04-30 00:00:00.000}},F,0,0,0.2625875403005365,0,0,0,No,0,0,124.55166766359665,128288.21769350454,99867.34239070772,28420.87530279682,F,69.47708269939896,65.95137940108862,54,1328,1,0,(haul 3134)
0,0,3189,0,{{time:logotime 2018-04-30 00:00:00.000}},F,0,0,0.40129072221924245,0,0,0,No,0,0,191.85088956971157,249406.15644062503,183060.91980661993,66345.23663400511,M,84.77462532414707,65.43811350823205,55,1332,1,0,(haul 3135)
0,0,3184,0,{{time:logotime 2018-04-30 00:00:00.000}},F,0,0,0.2818771316141251,0,0,0,No,0,0,149.73669074758163,154228.7914700091,124148.6373691825,30080.154100826603,F,84.64118242582542,70.50863625910343,55,1275,1,0,(haul 3132)
0,0,3188,0,{{time:logotime 2018-04-30 00:00:00.000}},F,0,0,0.3863020936765649,0,0,0,No,0,0,191.9647706777423,249554.201881065,199456.9116933312,50097.29018773381,M,54.36906886711736,23.571805129856337,78,1781,1,0,(haul 3137)
0,0,3154,0,{{time:logotime 2018-04-30 00:00:00.000}},F,0,0,0.40146648982129685,0,0,0,No,0,0,183.76565265252174,238895.34844827827,195962.88525182643,42932.46319645184,M,69.23106858648144,64.27663016785314,54,1328,1,0,(haul 3134)
0,0,3192,0,{{time:logotime 2018-04-30 00:00:00.000}},F,0,0,0.2454426648542835,0,0,0,No,0,0,133.28054020423002,137278.9564103569,105964.30641879683,31314.64999156008,F,64.0025432775964,31.004444304129244,66,2,1,0,(haul 3136)
0,0,3178,0,{{time:logotime 2018-04-30 00:00:00.000}},TR-HO,0,0,0.3981102426086889,0,0,0,SKIN_FAT,0,0,181.97495110252322,236567.4364332802,182214.14897589094,54353.28745738927,M,53.58407768428221,19.507762407857797,78,1838,1,120,(haul 3138)
0,0,3153,0,{{time:logotime 2018-04-30 00:00:00.000}},F,0,0,0.2924186077060156,0,0,0,No,0,0,157.7962175378808,162530.1040640172,128388.20584918052,34141.89821483669,F,134.52134171328433,166.09508314276502,9,202,1,0,(haul 3131)
