30	567500	6362500	0	0	0	0	144.0	168.0	0.07	0.06
31	562500	6352500	0	0	0	0	557.4	1384.0	0.29	0.15
32	512500	6257500	0	0	0	0	284.5	177.0	0.15	0.17
42	517500	6257500	0	0	0	0	252.4	301.0	0.13	0.11
52	497500	6252500	0	0	0	0	53.3	64.1	0.03	0.02
62	512500	6252500	0	0	0	0	488.2	281.0	0.25	0.11
72	492500	6217500	0	0	0	0	28.8	62.5	0.01	0.12
82	482500	6212500	0	0	0	0	70.4	123.0	0.04	0.14
92	482500	6207500	0	0	0	0	55.4	99.5	0.03	0.12
